tradingtime,deliverytime,price
2025-01-29 10:00:00,2025-01-29 15:00:00,89.9
2025-01-29 10:00:00,2025-01-29 16:00:00,105.7
2025-01-29 10:00:00,2025-01-29 17:00:00,145.625
2025-01-29 10:00:00,2025-01-29 18:00:00,142.8675
2025-01-29 10:00:00,2025-01-29 19:00:00,155.75
2025-01-29 10:00:00,2025-01-29 20:00:00,133.85
2025-01-29 10:00:00,2025-01-29 21:00:00,118.57
2025-01-29 10:00:00,2025-01-29 22:00:00,115.0
2025-01-29 10:00:00,2025-01-29 23:00:00,111.0
2025-01-30 10:00:00,2025-01-30 12:00:00,113.0975
2025-01-30 10:00:00,2025-01-30 13:00:00,102.03
2025-01-30 10:00:00,2025-01-30 14:00:00,98.0575
2025-01-30 10:00:00,2025-01-30 15:00:00,95.3175
2025-01-30 10:00:00,2025-01-30 16:00:00,111.9
2025-01-30 10:00:00,2025-01-30 17:00:00,118.955
2025-01-30 10:00:00,2025-01-30 18:00:00,152.2325
2025-01-30 10:00:00,2025-01-30 19:00:00,157.97
2025-01-30 10:00:00,2025-01-30 20:00:00,135.91
2025-01-30 10:00:00,2025-01-30 21:00:00,128.4175
2025-01-30 10:00:00,2025-01-30 22:00:00,127.75
2025-01-30 10:00:00,2025-01-30 23:00:00,123.67
2025-01-31 10:00:00,2025-01-31 12:00:00,108.1
2025-01-31 10:00:00,2025-01-31 13:00:00,99.1
2025-01-31 10:00:00,2025-01-31 14:00:00,103.5
2025-01-31 10:00:00,2025-01-31 15:00:00,105.8
2025-01-31 10:00:00,2025-01-31 16:00:00,111.0
2025-01-31 10:00:00,2025-01-31 17:00:00,123.1325
2025-01-31 10:00:00,2025-01-31 18:00:00,175.2775
2025-01-31 10:00:00,2025-01-31 19:00:00,172.99
2025-01-31 10:00:00,2025-01-31 20:00:00,156.12
2025-01-31 10:00:00,2025-01-31 21:00:00,146.65
2025-01-31 10:00:00,2025-01-31 22:00:00,141.9
2025-01-31 10:00:00,2025-01-31 23:00:00,129.655
2025-02-01 10:00:00,2025-02-01 12:00:00,102.48
2025-02-01 10:00:00,2025-02-01 13:00:00,82.3875
2025-02-01 10:00:00,2025-02-01 14:00:00,84.35
2025-02-01 10:00:00,2025-02-01 15:00:00,85.0
2025-02-01 10:00:00,2025-02-01 16:00:00,98.15
2025-02-01 10:00:00,2025-02-01 17:00:00,116.5475
2025-02-01 10:00:00,2025-02-01 18:00:00,140.0
2025-02-01 10:00:00,2025-02-01 19:00:00,161.3
2025-02-01 10:00:00,2025-02-01 20:00:00,149.0
2025-02-01 10:00:00,2025-02-01 21:00:00,139.5275
2025-02-01 10:00:00,2025-02-01 22:00:00,139.2625
2025-02-01 10:00:00,2025-02-01 23:00:00,131.42000000000002
2025-02-02 10:00:00,2025-02-02 12:00:00,117.44999999999999
2025-02-02 10:00:00,2025-02-02 13:00:00,104.35
2025-02-02 10:00:00,2025-02-02 14:00:00,112.64
2025-02-02 10:00:00,2025-02-02 15:00:00,110.0
2025-02-02 10:00:00,2025-02-02 16:00:00,121.7875
2025-02-02 10:00:00,2025-02-02 17:00:00,139.85
2025-02-02 10:00:00,2025-02-02 18:00:00,164.67
2025-02-02 10:00:00,2025-02-02 19:00:00,173.95
2025-02-02 10:00:00,2025-02-02 20:00:00,164.5025
2025-02-02 10:00:00,2025-02-02 21:00:00,150.7675
2025-02-02 10:00:00,2025-02-02 22:00:00,143.525
2025-02-02 10:00:00,2025-02-02 23:00:00,133.095
2025-02-03 10:00:00,2025-02-03 12:00:00,122.4475
2025-02-03 10:00:00,2025-02-03 13:00:00,113.2025
2025-02-03 10:00:00,2025-02-03 14:00:00,114.355
2025-02-03 10:00:00,2025-02-03 15:00:00,125.21000000000001
2025-02-03 10:00:00,2025-02-03 16:00:00,139.065
2025-02-03 10:00:00,2025-02-03 17:00:00,171.76
2025-02-03 10:00:00,2025-02-03 18:00:00,201.73
2025-02-03 10:00:00,2025-02-03 19:00:00,199.84
2025-02-03 10:00:00,2025-02-03 20:00:00,167.7525
2025-02-03 10:00:00,2025-02-03 21:00:00,156.0825
2025-02-03 10:00:00,2025-02-03 22:00:00,147.095
2025-02-03 10:00:00,2025-02-03 23:00:00,135.1
2025-02-04 10:00:00,2025-02-04 12:00:00,133.6275
2025-02-04 10:00:00,2025-02-04 13:00:00,118.0
2025-02-04 10:00:00,2025-02-04 14:00:00,123.91
2025-02-04 10:00:00,2025-02-04 15:00:00,130.5275
2025-02-04 10:00:00,2025-02-04 16:00:00,138.4
2025-02-04 10:00:00,2025-02-04 17:00:00,160.3
2025-02-04 10:00:00,2025-02-04 18:00:00,178.0
2025-02-04 10:00:00,2025-02-04 19:00:00,189.485
2025-02-04 10:00:00,2025-02-04 20:00:00,162.41750000000002
2025-02-04 10:00:00,2025-02-04 21:00:00,148.4
2025-02-04 10:00:00,2025-02-04 22:00:00,142.0
2025-02-04 10:00:00,2025-02-04 23:00:00,132.9
2025-02-05 10:00:00,2025-02-05 12:00:00,141.37
2025-02-05 10:00:00,2025-02-05 13:00:00,133.0
2025-02-05 10:00:00,2025-02-05 14:00:00,133.9425
2025-02-05 10:00:00,2025-02-05 15:00:00,144.23000000000002
2025-02-05 10:00:00,2025-02-05 16:00:00,163.47
2025-02-05 10:00:00,2025-02-05 17:00:00,181.01
2025-02-05 10:00:00,2025-02-05 18:00:00,202.1175
2025-02-05 10:00:00,2025-02-05 19:00:00,206.835
2025-02-05 10:00:00,2025-02-05 20:00:00,176.0
2025-02-05 10:00:00,2025-02-05 21:00:00,161.03
2025-02-05 10:00:00,2025-02-05 22:00:00,150.05
2025-02-05 10:00:00,2025-02-05 23:00:00,137.26
2025-02-06 10:00:00,2025-02-06 12:00:00,124.84
2025-02-06 10:00:00,2025-02-06 13:00:00,128.9975
2025-02-06 10:00:00,2025-02-06 14:00:00,111.72
2025-02-06 10:00:00,2025-02-06 15:00:00,123.0025
2025-02-06 10:00:00,2025-02-06 16:00:00,131.91500000000002
2025-02-06 10:00:00,2025-02-06 17:00:00,133.7
2025-02-06 10:00:00,2025-02-06 18:00:00,168.9775
2025-02-06 10:00:00,2025-02-06 19:00:00,162.0
2025-02-06 10:00:00,2025-02-06 20:00:00,141.92000000000002
2025-02-06 10:00:00,2025-02-06 21:00:00,134.5375
2025-02-06 10:00:00,2025-02-06 22:00:00,130.5
2025-02-06 10:00:00,2025-02-06 23:00:00,119.8975
2025-02-07 10:00:00,2025-02-07 12:00:00,129.17499999999998
2025-02-07 10:00:00,2025-02-07 13:00:00,119.09
2025-02-07 10:00:00,2025-02-07 14:00:00,118.35
2025-02-07 10:00:00,2025-02-07 15:00:00,119.9975
2025-02-07 10:00:00,2025-02-07 16:00:00,130.795
2025-02-07 10:00:00,2025-02-07 17:00:00,146.25
2025-02-07 10:00:00,2025-02-07 18:00:00,149.5925
2025-02-07 10:00:00,2025-02-07 19:00:00,148.25
2025-02-07 10:00:00,2025-02-07 20:00:00,139.0
2025-02-07 10:00:00,2025-02-07 21:00:00,128.8
2025-02-07 10:00:00,2025-02-07 22:00:00,128.14
2025-02-07 10:00:00,2025-02-07 23:00:00,108.55
2025-02-08 10:00:00,2025-02-08 12:00:00,165.8
2025-02-08 10:00:00,2025-02-08 13:00:00,137.8925
2025-02-08 10:00:00,2025-02-08 14:00:00,128.6575
2025-02-08 10:00:00,2025-02-08 15:00:00,132.14
2025-02-08 10:00:00,2025-02-08 16:00:00,147.19
2025-02-08 10:00:00,2025-02-08 17:00:00,156.95499999999998
2025-02-08 10:00:00,2025-02-08 18:00:00,163.59
2025-02-08 10:00:00,2025-02-08 19:00:00,161.9
2025-02-08 10:00:00,2025-02-08 20:00:00,157.49
2025-02-08 10:00:00,2025-02-08 21:00:00,143.1725
2025-02-08 10:00:00,2025-02-08 22:00:00,144.1
2025-02-08 10:00:00,2025-02-08 23:00:00,135.81
2025-02-09 10:00:00,2025-02-09 00:00:00,171.275
2025-02-09 10:00:00,2025-02-09 01:00:00,160.325
2025-02-09 10:00:00,2025-02-09 02:00:00,143.16
2025-02-09 10:00:00,2025-02-09 03:00:00,132.625
2025-02-09 10:00:00,2025-02-09 04:00:00,128.53
2025-02-09 10:00:00,2025-02-09 05:00:00,128.785
2025-02-09 10:00:00,2025-02-09 06:00:00,130.78
2025-02-09 10:00:00,2025-02-09 07:00:00,133.5
2025-02-09 10:00:00,2025-02-09 08:00:00,132.26999999999998
2025-02-09 10:00:00,2025-02-09 09:00:00,162.11
2025-02-09 10:00:00,2025-02-09 10:00:00,137.74
2025-02-09 10:00:00,2025-02-09 11:00:00,176.17000000000002
2025-02-09 10:00:00,2025-02-09 12:00:00,108.08
2025-02-09 10:00:00,2025-02-09 13:00:00,97.9975
2025-02-09 10:00:00,2025-02-09 14:00:00,95.0
2025-02-09 10:00:00,2025-02-09 15:00:00,112.81
2025-02-09 10:00:00,2025-02-09 16:00:00,126.765
2025-02-09 10:00:00,2025-02-09 17:00:00,139.7175
2025-02-09 10:00:00,2025-02-09 18:00:00,160.0
2025-02-09 10:00:00,2025-02-09 19:00:00,163.57
2025-02-09 10:00:00,2025-02-09 20:00:00,152.305
2025-02-09 10:00:00,2025-02-09 21:00:00,144.04
2025-02-09 10:00:00,2025-02-09 22:00:00,140.35
2025-02-09 10:00:00,2025-02-09 23:00:00,126.03999999999999
2025-02-10 10:00:00,2025-02-10 00:00:00,107.36
2025-02-10 10:00:00,2025-02-10 01:00:00,108.80000000000001
2025-02-10 10:00:00,2025-02-10 02:00:00,110.435
2025-02-10 10:00:00,2025-02-10 03:00:00,85.56
